"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2010S000067    ",2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","0166 0166",Dimarts,Dm,Laboral,2010,1,Gener,5,Matí,08,"No és causa del  vianant",Bicicleta,Home,Conductor,46,"Ferit lleu","4583177,93","430202,67"
"2010S000067    ",2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","0166 0166",Dimarts,Dm,Laboral,2010,1,Gener,5,Matí,08,"No és causa del  vianant",Motocicleta,Home,Conductor,46,"Ferit lleu","4583177,93","430202,67"
"2010S000068    ",2,Eixample,6,"la Sagrada Família",68900,Cartagena,"0283 0283",Dimarts,Dm,Laboral,2010,1,Gener,5,Matí,08,"No és causa del  vianant",Motocicleta,Home,Conductor,27,"Ferit lleu","4584755,62","431246,59"
"2010S000069    ",2,Eixample,7,"la Dreta de l'Eixample",18505,Aragó,"0334 0334",Dimarts,Dm,Laboral,2010,1,Gener,5,Matí,09,"No és causa del  vianant",Motocicleta,Home,Conductor,26,"Ferit lleu","4583244,40","430718,80"
"2010S000071    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",144601,Diagonal,"0645 0645",Dimarts,Dm,Laboral,2010,1,Gener,5,Matí,12,"No és causa del  vianant",Turismo,Home,Vianant,28,"Ferit lleu","4582116,12","426268,48"
"2010S000072    ",10,"Sant Martí",65,"el Clot",364200,Vintró,"0016 0016",Dimarts,Dm,Laboral,2010,1,Gener,5,Matí,13,"No és causa del  vianant",Ciclomotor,Home,Conductor,33,"Ferit lleu","4584462,78","432022,79"
"2010S000073    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",146902,"Glòries Catalanes","0037 0038",Dimarts,Dm,Laboral,2010,1,Gener,5,Tarda,14,"Desobeir el senyal del semàfor","Tranvía o tren",Home,Vianant,30,"Ferit lleu","4583970,11","432223,28"
"2010S000074    ",4,"Les Corts",19,"les Corts",118306,Europa,"0002 0006",Dimarts,Dm,Laboral,2010,1,Gener,5,Tarda,16,"No és causa del  vianant",Ciclomotor,Dona,Conductor,28,"Ferit lleu","4582228,33","427162,25"
"2010S000075    ",10,"Sant Martí",73,"la Verneda i la Pau",318906,Santander,"0026 0026",Dimarts,Dm,Laboral,2010,1,Gener,5,Tarda,15,"No és causa del  vianant",Motocicleta,Home,Conductor,45,"Ferit lleu","4586544,65","433319,33"
"2010S000076    ",9,"Sant Andreu",63,Navas,297001,"Sant Antoni Maria Claret","0355 0355",Dimarts,Dm,Laboral,2010,1,Gener,5,Matí,13,"No és causa del  vianant",Ciclomotor,Home,Conductor,20,"Ferit lleu","4585944,75","432111,43"
"2010S000077    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",143904,"General Mitre","0081 0091",Dimarts,Dm,Laboral,2010,1,Gener,5,Tarda,14,"No és causa del  vianant",Ciclomotor,Home,Conductor,25,"Ferit lleu","4583623,59","427673,64"
