"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2012S003320,4,"Les Corts",43-4-21,Pedralbes,701267,"Dalt (Besòs)",000590000,Dijous,4,Laboral,2012,5,Maig,10,07,Matí,Desconegut,0,1,0,1,4,"4582719,41","425518,31"
2012S006239,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",318804,Santaló,"0118 0118",Dimarts,2,Laboral,2012,9,Setembre,4,10,Matí,Desconegut,0,1,0,1,2,"4583440,83","428225,41"
2012S006531,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",315806,"Santa Fe de Nou Mèxic","0013 0013",Dilluns,1,Laboral,2012,9,Setembre,17,17,Tarda,Desconegut,0,2,0,2,2,"4582900,55","427861,30"
2012S000130,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",292802,Sagués,"0020 0020",Dissabte,6,Laboral,2012,1,Gener,7,04,Nit,Desconegut,0,1,0,1,2,"4582883,76","428518,95"
2012S001739,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",139805,Ganduxer,"0088 0088",Divendres,5,Laboral,2012,3,Març,9,12,Matí,Desconegut,0,1,0,1,2,"4583414,31","427652,74"
2012S007434,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",144601,Diagonal,"0630 0630",Dimarts,2,Laboral,2012,10,Octubre,23,15,Tarda,Desconegut,0,1,0,1,2,"4582582,49","427952,97"
2012S008452,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",37408,Beethoven,"0014 0014",Divendres,5,Laboral,2012,11,Novembre,30,17,Tarda,Desconegut,0,1,0,1,2,"4582756,57","428184,69"
2012S001502,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",143904,"General Mitre","0120 0120",Dijous,4,Laboral,2012,3,Març,1,08,Matí,Desconegut,0,1,0,1,3,"4583716,48","427870,21"
2012S009171,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",37408,Beethoven,"0002 0002",Dijous,4,Laboral,2012,12,Desembre,27,11,Matí,Desconegut,0,1,0,1,2,"4582690,72","428262,60"
2012S006182,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",55807,"Francesc Macià","0001 0001",Dissabte,6,Laboral,2012,9,Setembre,1,00,Nit,Desconegut,0,0,0,0,1,"4582756,14","428518,03"
2012S007212,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",55807,"Francesc Macià","0006 0006",Dilluns,1,Laboral,2012,10,Octubre,15,08,Matí,Desconegut,0,2,0,2,2,"4582730,96","428397,28"
2012S006856,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",275905,Ravella,0011B0011B,Dilluns,1,Laboral,2012,10,Octubre,1,11,Matí,"Creuar per fora pas de vianants",0,1,0,1,1,"4583602,05","427875,58"
2012S008824,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",143904,"General Mitre","0052 0052",Dijous,4,Laboral,2012,12,Desembre,13,22,Nit,Desconegut,0,2,0,2,1,"4583065,88","427622,25"
2012S001417,5,"Sarrià-Sant Gervasi",52-5-23,Sarrià,215302,Monestir,"0023 0023",Dilluns,1,Laboral,2012,2,Febrer,27,11,Matí,Desconegut,0,1,0,1,2,"4583414,14","426133,88"
