Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal_caption;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_tipus_accident;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2020S004337    ;2;Eixample;10;Sant Antoni;349706;Comte d'Urgell;0014 0014;Dimarts;Dm;Laboral;2020;9;Setembre;22;9;Matí;Col.lisió lateral;430022,57;4581458,35;2.161.997.461;41.379.758.501
2020S004338    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;18505;Aragó;0187 0187;Dimarts;Dm;Laboral;2020;9;Setembre;22;11;Matí;Abast;429748,98;4582339,33;2.158.623.665;41.387.669.351
2020S004339    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;169409;Corts Catalanes;0583 0583;Dimarts;Dm;Laboral;2020;9;Setembre;22;12;Matí;Abast;430080,36;4582095,48;2.162.614.957;4.138.550.196
2020S004340    ;7;Horta-Guinardó;43;Horta;58102;Campoamor;0001 0001;Dimarts;Dm;Laboral;2020;9;Setembre;22;12;Matí;Abast;429767,35;4587332,86;2.158.263.453;41.432.645.866
2020S004341    ;8;Nou Barris;48;la Guineueta;351901;Valldaura;0142X0142X;Dimarts;Dm;Laboral;2020;9;Setembre;22;13;Matí;Altres;430328,07;4588051,08;2.164.891.152;4.143.916.346
2020S004342    ;2;Eixample;7;la Dreta de l'Eixample;350308;València;0306 0306;Dimarts;Dm;Laboral;2020;9;Setembre;22;14;Tarda;Abast;430383,73;4583111,1;2.166.126.194;41.394.675.655
2020S004343    ;10;Sant Martí;71;Provençals del Poblenou;143609;Josep Pla;0117 0117;Dimarts;Dm;Laboral;2020;9;Setembre;22;15;Tarda;Col.lisió fronto-lateral;434016,29;4585176,71;2.209.349.468;41.413.586.539
2020S004344    ;9;Sant Andreu;63;Navas;115603;Espronceda;0323 0327;Dimarts;Dm;Laboral;2020;9;Setembre;22;16;Tarda;Col.lisió fronto-lateral;432473,07;4585411,9;2.190.859.597;41.415.576.565
2020S004345    ;10;Sant Martí;65;el Clot;113506;Escultors Claperós;0002H0002H;Dimarts;Dm;Laboral;2020;9;Setembre;22;17;Tarda;Atropellament;432405,01;4584785,46;2.190.115.309;4.140.992.868
2020S004346    ;9;Sant Andreu;60;Sant Andreu;120807;Favència;0441A0441A;Dimarts;Dm;Laboral;2020;9;Setembre;22;17;Tarda;Abast;432434,86;4588883,61;2.190.014.141;41.446.841.918
2020S004347    ;4;Les Corts;19;les Corts;144601;Diagonal;0579 0587;Dimarts;Dm;Laboral;2020;9;Setembre;22;21;Tarda;Col.lisió lateral;427557,22;4582526,09;2.132.389.155;41.389.156.919
2020S004348    ;10;Sant Martí;68;el Poblenou;55501;Calvell;0005 0005;Dimecres;Dc;Laboral;2020;9;Setembre;23;0;Nit;Abast;433667,49;4583314,2;2.205.380.538;41.396.782.648
2020S004349    ;1;Ciutat Vella;1;el Raval;198804;Paral·lel;0036 0036;Dimecres;Dc;Laboral;2020;9;Setembre;23;7;Matí;Atropellament;430934,44;4580915,69;2.172.963.525;41.374.949.747
2020S004350    ;6;Gràcia;30;la Salut;6109;Albigesos;0019B0019B;Dimecres;Dc;Laboral;2020;9;Setembre;23;1;Nit;Atropellament;429085,52;4584874,14;2.150.391.985;41.410.441.212
2020S004351    ;3;Sants-Montjuïc;11;el Poble-sec;135203;Foc;0134 0154;Dimecres;Dc;Laboral;2020;9;Setembre;23;7;Matí;Atropellament;428749,42;4579266,9;2.147.030.792;41.359.909.034
2020S004352    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;268003;Provença;0204 0204;Dimecres;Dc;Laboral;2020;9;Setembre;23;9;Matí;Atropellament;429484,06;4582604,39;2.155.424.491;41.390.033.464
2020S004353    ;3;Sants-Montjuïc;16;la Bordeta;169409;Corts Catalanes;0159 0159;Dimecres;Dc;Laboral;2020;9;Setembre;23;10;Matí;Caiguda interior vehicle;427959,32;4580039,04;2.137.493.915;41.366.793.095
2020S004354    ;6;Gràcia;31;la Vila de Gràcia;31300;Bailèn;0207 0209;Dimecres;Dc;Laboral;2020;9;Setembre;23;7;Matí;Abast;430172,88;4583944,05;2.163.508.149;41.402.159.467
2020S004355    ;3;Sants-Montjuïc;16;la Bordeta;11506;Alpens;0041 0041;Dimecres;Dc;Laboral;2020;9;Setembre;23;9;Matí;Caiguda (dues rodes);428160,15;4580716,7;2.139.814.622;41.372.914.503
2020S004356    ;7;Horta-Guinardó;37;el Carmel;55002;Calderón de la Barca;0028 0030;Dimecres;Dc;Laboral;2020;9;Setembre;23;11;Matí;Atropellament;429494,31;4586214,51;2.155.126.284;41.422.549.396
