Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S002714    ,8,Nou Barris,44,Vilapicina i la Torre Llobeta,69109,Quinze / Cartellà                                 ,0001 0001,Dissabte,Ds,Laboral,2019,4,Abril,6,15,Tarda,No és causa del  vianant,0,1,0,1,2,"431209,56","4586670,87",2.175507129825812,41.426830387958454
2019S002715    ,2,Eixample,6,la Sagrada Família,18505,Padilla / Aragó                                   ,0475 0475,Divendres,Dv,Laboral,2019,4,Abril,5,14,Tarda,No és causa del  vianant,0,2,0,2,3,"431528,36","4584085,61",2.179615126483029,41.403573339667986
2019S002716    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,32700,Balmes / Provença                                 ,0119 0119,Dissabte,Ds,Laboral,2019,4,Abril,6,17,Tarda,No és causa del  vianant,0,5,0,5,2,"429716,56","4582879,83",2.1580820677013826,41.39255684244103
2019S002717    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó / Doctor Letamendi                          ,0226 0226,Dissabte,Ds,Laboral,2019,4,Abril,6,18,Tarda,No és causa del  vianant,0,2,0,2,3,"429982,11","4582522,94",2.161299424365972,41.38936568490817
2019S002718    ,2,Eixample,9,la Nova Esquerra de l'Eixample,110803,Entença / València                                ,0125 0125,Dissabte,Ds,Laboral,2019,4,Abril,6,17,Tarda,No és causa del  vianant,0,1,0,1,2,"428852,59","4581659,61",2.147892321956666,41.381490804504715
2019S002719    ,2,Eixample,5,el Fort Pienc,335100,Tetuan / Corts Catalanes                          ,0036 0037,Dissabte,Ds,Laboral,2019,4,Abril,6,20,Tarda,No és causa del  vianant,0,1,0,1,2,"431246,5","4583153,05",2.1763494917039,41.39515006476791
2019S002720    ,3,Sants-Montjuïc,16,la Bordeta,701433,Mig (Ascendent)                                   ,20000,Dissabte,Ds,Laboral,2019,4,Abril,6,20,Tarda,No és causa del  vianant,0,1,0,1,2,"427706,41","4580014,5",2.1343826115298774,41.36657175391115
2019S002721    ,4,Les Corts,21,Pedralbes,193108,Manuel Girona                                     ,0088 0088,Dissabte,Ds,Laboral,2019,4,Abril,6,21,Tarda,No és causa del  vianant,0,1,0,1,2,"427238,15","4582855,31",2.128442839154048,41.39211528444631
2019S002722    ,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,289105,Rosselló / Sardenya                               ,0415B0415B,Dissabte,Ds,Laboral,2019,4,Abril,6,22,Nit,No és causa del  vianant,0,1,0,1,2,"430863,08","4584178,55",2.17164622045625,41.404353389019256
2019S002723    ,10,Sant Martí,68,el Poblenou,270901,Pujades / Badajoz                                 ,0099 0099,Diumenge,Dg,Laboral,2019,4,Abril,7,2,Nit,No és causa del  vianant,0,0,0,0,5,"432863,56","4583470,19",2.195655602863631,41.39814325965704
