"Codi d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ causa vianant","Descripci¢ tipus de vehicle","Descripci¢ model","Descripci¢ marca","Descripci¢ color","Descripci¢ carnet","Antiguitat carnet","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S000705,10,"Sant Mart¡",67,"la Vila Ol¡mpica del Poblenou",367504,"Doctor Trueta","0100 0100",Dimarts,Dm,Laboral,2013,1,Gener,29,14,"No ‚s causa del  vianant",Turismo,ASTRA,OPEL,Negre,B,5,"4583010,2","433011,04"
2013S000706,2,Eixample,8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell","0220 0220",Dimarts,Dm,Laboral,2013,1,Gener,29,14,"No ‚s causa del  vianant",Motocicleta,"SH 150",HONDA,Negre,A2,7,"4582487,13","429014,02"
2013S000850,2,Eixample,8,"l'Antiga Esquerra de l'Eixample",100800,Diputaci¢,"0230 0230",Dilluns,Dl,Laboral,2013,2,Febrer,4,10,"No ‚s causa del  vianant",Motocicleta,"SH 150",HONDA,Blau,A,33,"4582363,96","430195,2"
2013S006586,2,Eixample,9,"la Nova Esquerra de l'Eixample",87009,"Comte Borrell",0184A0184A,Dimecres,Dc,Laboral,2013,9,Setembre,18,10,"No ‚s causa del  vianant",Turismo,LAGUNA,RENAULT,Blau,B,44,"4582018,55","429277,89"
2013S006592,8,"Nou Barris",46,"el Tur¢ de la Peira",15802,Aneto,"0047 0049",Dimecres,Dc,Laboral,2013,9,Setembre,18,12,"No ‚s causa del  vianant",Ciclomotor,"SH 50",HONDA,Negre,AM,8,"4587383,12","430711,91"
2013S006713,2,Eixample,7,"la Dreta de l'Eixample",18505,Arag¢,"0361 0361",Diumenge,Dg,Laboral,2013,9,Setembre,22,13,"No ‚s causa del  vianant",Ciclomotor,"SCOOPY 50",HONDA,Marr¢,AM,7,"4583478,86","430912,52"
2013S006852,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0631 0631",Divendres,Dv,Laboral,2013,9,Setembre,27,17,"No ‚s causa del  vianant",Turismo,LAGUNA,RENAULT,Verd,B,37,"4582744,69","430743,87"
2013S006853,10,"Sant Mart¡",64,"el Camp de l'Arpa del Clot",161101,IndependŠncia,"0317 0317",Divendres,Dv,Laboral,2013,9,Setembre,27,19,"No ‚s causa del  vianant",Taxi,OCTAVIA,SKODA,Altres,BTP,4,"4584701,74","431679,84"
2013S000161,5,"Sarri…-Sant Gervasi",23,Sarri…,120308,"Francesc Carbonell","0039 0043",Dimarts,Dm,Laboral,2013,1,Gener,8,18,"No ‚s causa del  vianant",Turismo,A3,AUDI,Gris,B,21,"4583047,09","427142,3"
2013S000281,6,Gr…cia,31,"la Vila de Gr…cia",356803,Verdi,"0147 0147",Diumenge,Dg,Laboral,2013,1,Gener,13,6,"No ‚s causa del  vianant",Turismo,YARIS,TOYOTA,Desconegut,Desconegut,Desconegut,"4584502,54","429342,76"
