"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ causa mediata","Coordenada UTM (Y)","Coordenada UTM (X)"
2011S002909,2,Eixample,10,"Sant Antoni",362001,Vilamar°,"0025 0025",Dissabte,Ds,Laboral,2011,4,Abril,30,9,Mat°,"No hi ha causa mediata","4581072,38","429239,71"
2011S004576,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46409,Born,"0004 0004",Dimarts,Dm,Laboral,2011,7,Juliol,5,12,Mat°,"No hi ha causa mediata","4581919,13","431744,46"
2011S002008,2,Eixample,9,"la Nova Esquerra de l'Eixample",349706,"Comte d'Urgell","0125 0125",Dijous,Dj,Laboral,2011,3,Mará,24,16,Tarda,"No hi ha causa mediata","4582120,83","429328,82"
2011S007619,2,Eixample,9,"la Nova Esquerra de l'Eixample",349706,"Comte d'Urgell","0143 0143",Divendres,Dv,Laboral,2011,11,Novembre,11,18,Tarda,"No hi ha causa mediata","4582237,64","429214,14"
2011S006648,2,Eixample,9,"la Nova Esquerra de l'Eixample",90502,Cïrsega,"0060 0060",Dimarts,Dm,Laboral,2011,10,Octubre,4,12,Mat°,"No hi ha causa mediata","4582002,04","428490,31"
2011S000391,2,Eixample,9,"la Nova Esquerra de l'Eixample",361406,Viladomat,0140B0140B,Dijous,Dj,Laboral,2011,1,Gener,20,9,Mat°,"No hi ha causa mediata","4581681,51","429422,47"
2011S002563,2,Eixample,9,"la Nova Esquerra de l'Eixample",362001,Vilamar°,"0120 0120",Dimarts,Dm,Laboral,2011,4,Abril,12,17,Tarda,"No hi ha causa mediata","4581588,75","428764,84"
2011S007642,2,Eixample,9,"la Nova Esquerra de l'Eixample",18505,Arag¢,"0041 0041",Dissabte,Ds,Laboral,2011,11,Novembre,12,16,Tarda,"No hi ha causa mediata","4581485,88","428886,41"
2011S004728,2,Eixample,9,"la Nova Esquerra de l'Eixample",89004,"Consell de Cent","0189 0189",Dilluns,Dl,Laboral,2011,7,Juliol,11,15,Tarda,"No hi ha causa mediata","4581912,96","429512,33"
2011S000290,2,Eixample,9,"la Nova Esquerra de l'Eixample",110803,Entenáa,"0110 0110",Diumenge,Dg,Laboral,2011,1,Gener,16,13,Mat°,"No hi ha causa mediata","4581579,37","428961,02"
2011S002936,2,Eixample,9,"la Nova Esquerra de l'Eixample",169409,"Corts Catalanes","0451 0451",Diumenge,Dg,Laboral,2011,5,Maig,1,17,Tarda,"No hi ha causa mediata","4581388,05","429358,81"
2011S002260,2,Eixample,9,"la Nova Esquerra de l'Eixample",100800,Diputaci¢,"0126 0126",Dissabte,Ds,Laboral,2011,4,Abril,2,17,Tarda,"No hi ha causa mediata","4581736,93","429564,3"
2011S001428,2,Eixample,9,"la Nova Esquerra de l'Eixample",100800,Diputaci¢,"0146 0146",Dimecres,Dc,Laboral,2011,2,Febrer,16,18,Tarda,"No hi ha causa mediata","4581798,44","429618,11"
2011S001598,2,Eixample,9,"la Nova Esquerra de l'Eixample",227800,Nicaragua,"0002 0002",Dimecres,Dc,Laboral,2011,3,Mará,9,10,Mat°,"No hi ha causa mediata","4581636,23","428531,6"
2011S005093,2,Eixample,9,"la Nova Esquerra de l'Eixample",287201,Roma,"0066 0068",Dimarts,Dm,Laboral,2011,7,Juliol,26,12,Mat°,"No hi ha causa mediata","4581778,66","428907,19"
2011S001724,2,Eixample,9,"la Nova Esquerra de l'Eixample",362001,Vilamar°,0134B0134B,Dilluns,Dl,Laboral,2011,3,Mará,14,14,Tarda,"No hi ha causa mediata","4581701,53","428654,48"
2011S005976,2,Eixample,9,"la Nova Esquerra de l'Eixample",349706,"Comte d'Urgell","0071 0071",Dissabte,Ds,Laboral,2011,9,Setembre,10,17,Tarda,"No hi ha causa mediata","4581795,1","429647,18"
2011S006459,2,Eixample,9,"la Nova Esquerra de l'Eixample",54509,CalÖbria,"0099 0099",Dimarts,Dm,Laboral,2011,9,Setembre,27,17,Tarda,"No hi ha causa mediata","4581465,79","429415,27"
2011S005193,2,Eixample,9,"la Nova Esquerra de l'Eixample",54509,CalÖbria,"0100 0100",Dissabte,Ds,Laboral,2011,7,Juliol,30,2,Nit,Alcoholämia,"4581481,84","429430,12"
2011S001633,2,Eixample,9,"la Nova Esquerra de l'Eixample",18505,Arag¢,"0037 0037",Dijous,Dj,Laboral,2011,3,Mará,10,14,Tarda,"No hi ha causa mediata","4581441,03","428840,66"
2011S004259,2,Eixample,9,"la Nova Esquerra de l'Eixample",350308,Valäncia,"0122 0124",Dimecres,Dc,Laboral,2011,6,Juny,22,0,Nit,"No hi ha causa mediata","4581902,23","429150,67"
2011S003237,2,Eixample,9,"la Nova Esquerra de l'Eixample",361406,Viladomat,"0179 0183",Divendres,Dv,Laboral,2011,5,Maig,13,15,Tarda,"No hi ha causa mediata","4581849,7","429227,51"
2011S001261,2,Eixample,9,"la Nova Esquerra de l'Eixample",110803,Entenáa,"0070 0070",Dimecres,Dc,Laboral,2011,2,Febrer,23,10,Mat°,"No hi ha causa mediata","4581390,05","429146,21"
2011S000571,2,Eixample,9,"la Nova Esquerra de l'Eixample",285807,Rocafort,"0103 0107",Dijous,Dj,Laboral,2011,1,Gener,27,13,Mat°,"No hi ha causa mediata","4581473,45","429221,1"
2011S007862,2,Eixample,9,"la Nova Esquerra de l'Eixample",285807,Rocafort,"0117 0117",Dilluns,Dl,Laboral,2011,11,Novembre,21,11,Mat°,"No hi ha causa mediata","4581510,38","429184,94"
