"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2014S001650,2,Eixample,24-2-7,"la Dreta de l'Eixample",305100,"Sant Joan","0052 0052",Dimecres,3,Laboral,2014,3,Març,5,17,Tarda,Desconegut,0,1,0,1,2,"4583270,02","431068,06"
2014S008460,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9997 9997",Dimarts,2,Laboral,2014,11,Novembre,18,12,Matí,Desconegut,0,1,0,1,2,"4582760,74","430794,78"
2014S003325,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9997 9997",Dimarts,2,Laboral,2014,5,Maig,6,18,Tarda,Desconegut,0,1,0,1,2,"4582760,74","430794,78"
2014S006071,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9997 9997",Dimecres,3,Laboral,2014,8,Agost,20,23,Nit,Desconegut,0,1,0,1,2,"4582760,74","430794,78"
2014S009631,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9997 9997",Dilluns,1,Laboral,2014,12,Desembre,29,22,Nit,Desconegut,0,2,0,2,2,"4582760,74","430794,78"
2014S009056,2,Eixample,24-2-7,"la Dreta de l'Eixample",32700,Balmes,"0014 0014",Dimecres,3,Laboral,2014,12,Desembre,10,10,Matí,Desconegut,0,1,0,1,2,"4582236,13","430376,58"
2014S002018,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0619 0619",Dimarts,2,Laboral,2014,3,Març,18,15,Tarda,Desconegut,0,1,0,1,2,"4582647,46","430644,92"
2014S008980,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0621 0621",Dissabte,6,Laboral,2014,12,Desembre,6,11,Matí,Desconegut,0,2,0,2,1,"4582657,91","430655,60"
2014S002997,2,Eixample,24-2-7,"la Dreta de l'Eixample",74404,Catalunya,"0005 0005",Dijous,4,Laboral,2014,4,Abril,24,11,Matí,Desconegut,0,0,0,0,1,"4582226,80","430596,95"
2014S007456,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0236 0236",Dimecres,3,Laboral,2014,10,Octubre,15,21,Tarda,Desconegut,0,1,0,1,2,"4582592,26","430053,38"
2014S005211,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0238 0238",Dilluns,1,Laboral,2014,7,Juliol,14,17,Tarda,Desconegut,0,1,0,1,1,"4582596,92","430057,99"
2014S006777,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0274 0274",Diumenge,7,Laboral,2014,9,Setembre,21,17,Tarda,Desconegut,0,2,0,2,1,"4582786,83","430252,07"
2014S007781,2,Eixample,24-2-7,"la Dreta de l'Eixample",335100,Tetuan,"0030 0030",Diumenge,7,Laboral,2014,10,Octubre,26,02,Nit,Desconegut,0,0,0,0,2,"4583198,28","431179,27"
2014S004027,2,Eixample,24-2-7,"la Dreta de l'Eixample",71600,Casp,0057B0057B,Diumenge,7,Laboral,2014,6,Juny,1,20,Tarda,Desconegut,0,1,0,1,2,"4582916,90","431154,25"
2014S008150,2,Eixample,24-2-7,"la Dreta de l'Eixample",74506,Catalunya,"0061 0061",Dijous,4,Laboral,2014,11,Novembre,6,21,Tarda,Altres,0,0,1,1,1,"4582679,88","430167,47"
2014S003224,2,Eixample,24-2-7,"la Dreta de l'Eixample",74506,Catalunya,"0061 0061",Dijous,4,Laboral,2014,5,Maig,1,18,Tarda,Desconegut,0,1,0,1,1,"4582679,88","430167,47"
2014S007877,2,Eixample,24-2-7,"la Dreta de l'Eixample",89004,"Consell de Cent","0317 0317",Dimecres,3,Laboral,2014,10,Octubre,29,13,Matí,Desconegut,0,2,0,2,2,"4582529,26","430140,20"
2014S003034,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0673 0673",Divendres,5,Laboral,2014,4,Abril,25,15,Tarda,Desconegut,0,1,0,1,2,"4583276,98","431287,87"
2014S003578,2,Eixample,24-2-7,"la Dreta de l'Eixample",130403,Fontanella,"0013 0013",Dijous,4,Laboral,2014,5,Maig,15,16,Tarda,Desconegut,0,2,0,2,2,"4582364,77","430884,49"
2014S007582,2,Eixample,24-2-7,"la Dreta de l'Eixample",130403,Fontanella,"0021 0023",Dilluns,1,Laboral,2014,10,Octubre,20,11,Matí,Desconegut,0,1,0,1,2,"4582407,99","430912,99"
2014S006827,2,Eixample,24-2-7,"la Dreta de l'Eixample",148307,Gràcia,"0002 0004",Dimarts,2,Laboral,2014,9,Setembre,23,13,Matí,Desconegut,0,1,0,1,2,"4582406,03","430711,98"
2014S000865,2,Eixample,24-2-7,"la Dreta de l'Eixample",176801,"Roger de Llúria","0027 0027",Dimecres,3,Laboral,2014,2,Febrer,5,08,Matí,Altres,0,2,0,2,2,"4582786,55","430741,30"
2014S006406,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0604 0604",Divendres,5,Laboral,2014,9,Setembre,5,14,Tarda,Desconegut,0,1,0,1,2,"4582245,25","430308,02"
2014S001304,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0604 0604",Divendres,5,Laboral,2014,2,Febrer,21,14,Tarda,Desconegut,0,0,1,1,2,"4582245,25","430308,02"
2014S008588,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0624 0624",Dissabte,6,Laboral,2014,11,Novembre,22,16,Tarda,Desconegut,0,1,0,1,2,"4582379,73","430445,33"
2014S008723,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0640 0640",Dijous,4,Laboral,2014,11,Novembre,27,17,Tarda,Desconegut,0,0,0,0,2,"4582579,06","430649,03"
2014S007279,2,Eixample,24-2-7,"la Dreta de l'Eixample",89004,"Consell de Cent","0425 0427",Dijous,4,Laboral,2014,10,Octubre,9,16,Tarda,Desconegut,0,1,0,1,3,"4583292,47","430920,58"
2014S005553,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0669 0669",Dissabte,6,Laboral,2014,7,Juliol,26,19,Tarda,Desconegut,0,1,0,1,2,"4583069,64","431066,85"
2014S008119,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0660 0660",Dimecres,3,Laboral,2014,11,Novembre,5,21,Tarda,"Desobeir el senyal del semàfor",0,2,0,2,1,"4582711,59","430784,15"
2014S007871,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9998 9998",Dimecres,3,Laboral,2014,10,Octubre,29,11,Matí,Desconegut,0,0,0,0,2,"4582424,87","430448,19"
2014S006306,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9998 9998",Dilluns,1,Laboral,2014,9,Setembre,1,21,Tarda,Desconegut,0,1,0,1,2,"4582424,87","430448,19"
2014S001634,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9999 9999",Dimecres,3,Laboral,2014,3,Març,5,09,Matí,Desconegut,0,1,0,1,2,"4582516,07","430558,51"
2014S002788,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9999 9999",Dilluns,1,Laboral,2014,4,Abril,14,05,Nit,Desconegut,0,0,2,2,1,"4582516,07","430558,51"
2014S000367,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9999 9999",Divendres,5,Laboral,2014,1,Gener,17,00,Nit,"Creuar per fora pas de vianants",0,1,0,1,1,"4582516,07","430558,51"
2014S009357,2,Eixample,24-2-7,"la Dreta de l'Eixample",232902,Urquinaona,"0001 0001",Divendres,5,Laboral,2014,12,Desembre,19,11,Matí,Desconegut,0,1,0,1,2,"4582486,81","430905,65"
