"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2011S006847    ",9,"Sant Andreu",60,"Sant Andreu",173508,"Joan Torras",0028B0028B,Dimecres,Dc,Laboral,2011,10,Octubre,5,Tarda,15,"No és causa del  vianant",Bicicleta,Dona,Conductor,30,"Ferit lleu","4587859,29","432584,60"
"2011S006851    ",3,Sants-Montjuïc,17,"Sants - Badal",282252,Blanca,"0101 0103",Dimarts,Dm,Laboral,2011,10,Octubre,11,Tarda,14,"No és causa del  vianant",Bicicleta,Dona,Vianant,78,"Ferit lleu","4580655,89","427050,75"
"2011S006852    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",119003,"Fabra i Puig","0093 0093",Dimarts,Dm,Laboral,2011,10,Octubre,11,Matí,12,"No és causa del  vianant",Bicicleta,Dona,Conductor,24,"Ferit lleu","4587027,12","431811,15"
"2011S007377    ",2,Eixample,10,"Sant Antoni",223606,Muntaner,"0009 0009",Dimecres,Dc,Laboral,2011,11,Novembre,2,Matí,10,"No és causa del  vianant",Turismo,Home,Conductor,43,"Ferit lleu","4581926,87","430087,25"
"2011S007382    ",2,Eixample,7,"la Dreta de l'Eixample",145003,Girona,"0020 0020",Dimecres,Dc,Laboral,2011,11,Novembre,2,Tarda,14,"Desobeir el senyal del semàfor",Motocicleta,Home,Vianant,56,"Ferit lleu","4582768,66","431163,67"
"2011S007390    ",2,Eixample,5,"el Fort Pienc",197302,Marina,"0138 0138",Dimecres,Dc,Laboral,2011,11,Novembre,2,Tarda,21,"No és causa del  vianant",Motocicleta,Dona,Conductor,20,"Ferit lleu","4583385,81","431886,96"
"2011S007393    ",10,"Sant Martí",70,"el Besòs i el Maresme",701266,"Litoral (Llobregat)",000550000,Dijous,Dj,Laboral,2011,11,Novembre,3,Matí,09,"No és causa del  vianant",Motocicleta,Home,Conductor,36,"Ferit lleu","4584731,20","435017,20"
"2011S008382    ",4,"Les Corts",21,Pedralbes,701268,"Dalt (Llobregat)",0010E0000,Dimarts,Dm,Laboral,2011,12,Desembre,13,Tarda,18,"No és causa del  vianant",Turismo,Dona,Conductor,31,"Ferit lleu","4582703,59","425489,25"
"2011S008403    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",700747,"Bac de Roda","0001 0001",Dimecres,Dc,Laboral,2011,12,Desembre,14,Tarda,21,"No és causa del  vianant",Motocicleta,Home,Conductor,Desconegut,"Ferit lleu","4583671,13","434380,13"
"2011S006879    ",10,"Sant Martí",73,"la Verneda i la Pau",318906,Santander,0063A0063A,Dimecres,Dc,Laboral,2011,10,Octubre,12,Matí,09,"No és causa del  vianant",Turismo,Home,Conductor,18,"Ferit lleu","4586886,49","433497,89"
"2011S006902    ",2,Eixample,9,"la Nova Esquerra de l'Eixample",331507,Tarragona,"0078 0082",Dijous,Dj,Laboral,2011,10,Octubre,13,Matí,08,"No és causa del  vianant",Bicicleta,Home,Conductor,27,"Ferit lleu","4581315,93","428672,41"
"2011S007406    ",4,"Les Corts",21,Pedralbes,169023,"Jordi Girona","0033 0033",Dijous,Dj,Laboral,2011,11,Novembre,3,Tarda,16,"No és causa del  vianant",Motocicleta,Home,Conductor,48,"Ferit lleu","4582547,79","426312,01"
"2011S008420    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",18505,Aragó,"0205 0205",Dijous,Dj,Laboral,2011,12,Desembre,15,Tarda,16,"No és causa del  vianant",Motocicleta,Home,Conductor,29,"Ferit lleu","4582427,74","429840,16"
"2011S008435    ",8,"Nou Barris",45,Porta,119003,"Fabra i Puig","0226 0230",Dijous,Dj,Laboral,2011,12,Desembre,15,Tarda,20,"No és causa del  vianant",Autobús,Dona,Vianant,19,"Ferit lleu","4587068,10","431339,19"
"2011S008439    ",2,Eixample,7,"la Dreta de l'Eixample",144601,Diagonal,"0389 0389",Dijous,Dj,Laboral,2011,12,Desembre,15,Tarda,21,"No és causa del  vianant",Autobús,Dona,Passatger,31,"Ferit lleu","4583257,35","429717,14"
"2011S006917    ",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",32700,Balmes,"0370 0370",Divendres,Dv,Laboral,2011,10,Octubre,14,Matí,07,"No és causa del  vianant",Motocicleta,Home,Conductor,33,"Ferit lleu","4584234,28","428262,27"
