Número d expedient;Codi districte;Nom districte;Codi barri;Nom barri;Codi carrer;Nom carrer;Num postal caption;Descripció dia setmana;Dia setmana;Descripció tipus dia;NK Any;Mes de any;Nom mes;Dia de mes;Hora de dia;Descripció torn;Descripció causa vianant;Número de morts;Número de lesionats lleus;Número de lesionats greus;Número de víctimes;Número de vehicles implicats;Coordenada UTM (Y);Coordenada UTM (X)
2015S008712;2;Eixample;8;l'Antiga Esquerra de l'Eixample;110304;Enric Granados;0097 0097;Dimecres;Dc;Laboral;2015;11;Novembre;18;13;Matí;No és causa del  vianant;0;1;0;1;2;4582890,93;429519,19
2015S000643;2;Eixample;8;l'Antiga Esquerra de l'Eixample;268003;Provença;0201 0201;Dimarts;Dm;Laboral;2015;1;Gener;27;05;Nit;No és causa del  vianant;0;2;0;2;2;4582821,04;429675,76
2015S008573;2;Eixample;8;l'Antiga Esquerra de l'Eixample;18505;Aragó;0214 0216;Divendres;Dv;Laboral;2015;11;Novembre;13;13;Matí;No és causa del  vianant;0;1;0;1;2;4582403,96;429861,51
2015S008429;2;Eixample;8;l'Antiga Esquerra de l'Eixample;18505;Aragó;0232 0232;Dilluns;Dl;Laboral;2015;11;Novembre;9;08;Matí;No és causa del  vianant;0;1;0;1;3;4582550,35;430011,29
2015S006219;2;Eixample;8;l'Antiga Esquerra de l'Eixample;23403;Aribau;0002 0002;Dissabte;Ds;Laboral;2015;8;Agost;15;00;Nit;No és causa del  vianant;0;2;0;2;2;4582145,47;430091,24
2015S002392;2;Eixample;8;l'Antiga Esquerra de l'Eixample;23403;Aribau;0024 0024;Diumenge;Dg;Laboral;2015;3;Març;29;06;Matí;No és causa del  vianant;0;0;0;0;2;4582246,16;429992,30
2015S003474;2;Eixample;8;l'Antiga Esquerra de l'Eixample;100800;Diputació;0210 0210;Dijous;Dj;Laboral;2015;5;Maig;7;14;Tarda;No és causa del  vianant;0;2;0;2;2;4582148,82;429975,61
2015S001705;2;Eixample;8;l'Antiga Esquerra de l'Eixample;223606;Muntaner;0020 0020;Dijous;Dj;Laboral;2015;3;Març;5;11;Matí;No és causa del  vianant;0;1;0;1;2;4582053,44;429993,96
2015S002631;2;Eixample;8;l'Antiga Esquerra de l'Eixample;223606;Muntaner;0022 0022;Dijous;Dj;Laboral;2015;4;Abril;9;10;Matí;No és causa del  vianant;0;1;0;1;2;4582060,54;429986,89
2015S004404;2;Eixample;8;l'Antiga Esquerra de l'Eixample;90502;Còrsega;0245 0245;Dilluns;Dl;Laboral;2015;6;Juny;8;10;Matí;No és causa del  vianant;0;1;0;1;2;4582908,56;429381,95
2015S009261;2;Eixample;8;l'Antiga Esquerra de l'Eixample;90502;Còrsega;0245 0245;Dissabte;Ds;Laboral;2015;12;Desembre;5;14;Tarda;No és causa del  vianant;0;2;0;2;2;4582908,56;429381,95
2015S003323;2;Eixample;8;l'Antiga Esquerra de l'Eixample;23403;Aribau;0042 0042;Divendres;Dv;Laboral;2015;5;Maig;1;05;Nit;No és causa del  vianant;0;1;0;1;2;4582335,44;429905,19
2015S008890;2;Eixample;8;l'Antiga Esquerra de l'Eixample;32700;Balmes;0021 0021;Dimarts;Dm;Laboral;2015;11;Novembre;24;20;Tarda;No és causa del  vianant;0;1;0;1;2;4582341,80;430242,22
2015S007691;2;Eixample;8;l'Antiga Esquerra de l'Eixample;32700;Balmes;0023 0023;Dimarts;Dm;Laboral;2015;10;Octubre;13;20;Tarda;No és causa del  vianant;0;1;0;1;2;4582354,11;430230,44
2015S001033;2;Eixample;8;l'Antiga Esquerra de l'Eixample;18505;Aragó;0153 0153;Dimarts;Dm;Laboral;2015;2;Febrer;10;16;Tarda;No és causa del  vianant;0;2;0;2;2;4582061,01;429472,96
2015S009284;2;Eixample;8;l'Antiga Esquerra de l'Eixample;18505;Aragó;0153 0153;Dilluns;Dl;Laboral;2015;12;Desembre;7;09;Matí;No és causa del  vianant;0;1;0;1;2;4582061,01;429472,96
2015S004235;2;Eixample;8;l'Antiga Esquerra de l'Eixample;89004;Consell de Cent;0272 0272;Dimarts;Dm;Laboral;2015;6;Juny;2;21;Tarda;No és causa del  vianant;0;1;0;1;2;4582444,26;430085,23
2015S003525;2;Eixample;8;l'Antiga Esquerra de l'Eixample;70607;Casanova;0078 0078;Divendres;Dv;Laboral;2015;5;Maig;8;18;Tarda;No és causa del  vianant;0;1;0;1;2;4582149,26;429713,10
2015S009311;2;Eixample;8;l'Antiga Esquerra de l'Eixample;363809;Villarroel;0097 0097;Dimarts;Dm;Laboral;2015;12;Desembre;8;15;Tarda;No és causa del  vianant;0;1;0;1;2;4582042,05;429599,94
2015S000863;2;Eixample;8;l'Antiga Esquerra de l'Eixample;363809;Villarroel;0119 0119;Dimecres;Dc;Laboral;2015;2;Febrer;4;09;Matí;No és causa del  vianant;0;1;0;1;2;4582120,52;429523,46
2015S000561;2;Eixample;8;l'Antiga Esquerra de l'Eixample;144601;Diagonal;0417 0417;Divendres;Dv;Laboral;2015;1;Gener;23;10;Matí;No és causa del  vianant;0;0;1;1;1;4583143,35;429366,29
2015S006831;2;Eixample;8;l'Antiga Esquerra de l'Eixample;144601;Diagonal;0417 0417;Dijous;Dj;Laboral;2015;9;Setembre;10;15;Tarda;No és causa del  vianant;0;2;0;2;2;4583143,35;429366,29
2015S007103;2;Eixample;8;l'Antiga Esquerra de l'Eixample;223606;Muntaner;0049 0049;Dilluns;Dl;Laboral;2015;9;Setembre;21;18;Tarda;No és causa del  vianant;0;0;1;1;3;4582149,91;429869,24
2015S007489;2;Eixample;8;l'Antiga Esquerra de l'Eixample;223606;Muntaner;0063 0065;Dimarts;Dm;Laboral;2015;10;Octubre;6;12;Matí;No és causa del  vianant;0;1;0;1;2;4582231,12;429790,09
2015S006302;2;Eixample;8;l'Antiga Esquerra de l'Eixample;223606;Muntaner;0063 0065;Dimecres;Dc;Laboral;2015;8;Agost;19;15;Tarda;No és causa del  vianant;0;1;0;1;2;4582231,12;429790,09
