,NUMERO EXPEDIENTE,TIPO ACCIDENTE
589,2011S000361,Col.lisió lateral
590,2011S006264,Col.lisió lateral
591,2011S006062,Col.lisió lateral
592,2011S005853,Atropellament
593,2011S003276,Caiguda interior vehicle
594,2011S003170,Abast multiple
595,2011S006055,Abast
596,2011S005876,Abast
597,2011S004883,Xoc contra element estàtic
598,2011S002080,Caiguda (dues rodes)
599,2011S006154,Abast multiple
600,2011S002672,Abast
601,2011S001097,Caiguda (dues rodes)
602,2011S003120,Xoc contra element estàtic
603,2011S007070,Abast
604,2011S005186,Atropellament
605,2011S005034,Col.lisió lateral
606,2011S003242,Col.lisió lateral
607,2011S008680,Abast
608,2011S001503,Xoc contra element estàtic
609,2011S008028,Abast
610,2011S004090,Abast
611,2011S003519,Col.lisió lateral
612,2011S005690,Abast
613,2011S001619,Atropellament
614,2011S006217,Abast
615,2011S008370,Abast
616,2011S001363,Col.lisió lateral
617,2011S006587,Xoc contra element estàtic
618,2011S004162,Xoc contra element estàtic
619,2011S002453,Abast
620,2011S003907,Col.lisió fronto-lateral
621,2011S008110,Atropellament
622,2011S008164,Bolcada (més de dues rodes)
623,2011S008081,Col.lisió lateral
624,2011S005556,Abast
625,2011S001462,Abast
626,2011S006317,Col.lisió frontal
627,2011S000783,Atropellament
628,2011S002467,Atropellament
629,2011S001563,Xoc contra element estàtic
630,2011S000709,Col.lisió fronto-lateral
631,2011S008319,Abast
632,2011S002737,Col.lisió fronto-lateral
633,2011S003411,Col.lisió fronto-lateral
634,2011S004915,Col.lisió lateral
635,2011S001065,Xoc contra element estàtic
636,2011S003452,Caiguda interior vehicle
637,2011S004958,Atropellament
638,2011S002511,Col.lisió fronto-lateral
639,2011S003938,Abast
640,2011S005798,Abast multiple
641,2011S000983,Abast
642,2011S004570,Atropellament
643,2011S000585,Atropellament
644,2011S008256,Atropellament
645,2011S000902,Xoc contra element estàtic
646,2011S005566,Xoc contra element estàtic
647,2011S003045,Abast
648,2011S003571,Atropellament
649,2011S004290,Abast
650,2011S006823,Abast
651,2011S008141,Col.lisió fronto-lateral
652,2011S003892,Caiguda (dues rodes)
653,2011S004891,Col.lisió fronto-lateral
654,2011S008678,Atropellament
655,2011S005050,Col.lisió fronto-lateral
656,2011S004262,Abast
657,2011S006557,Abast
658,2011S008529,Abast
659,2011S005240,Altres
660,2011S004924,Abast
661,2011S002018,Atropellament
662,2011S004254,Abast
663,2011S006350,Abast
664,2011S000835,Col.lisió lateral
665,2011S008146,Atropellament
666,2011S003821,Abast
667,2011S008828,Col.lisió lateral
668,2011S002853,Abast
669,2011S005618,Abast
670,2011S000047,Altres
671,2011S000657,Abast
672,2011S008593,Col.lisió lateral
673,2011S007228,Atropellament
674,2011S008171,Atropellament
675,2011S008195,Col.lisió lateral
676,2011S008528,Abast
677,2011S001743,Caiguda (dues rodes)
678,2011S003769,Caiguda (dues rodes)
679,2011S003133,Caiguda (dues rodes)
680,2011S006110,Caiguda interior vehicle
681,2011S000882,Col.lisió lateral
682,2011S004520,Atropellament
683,2011S006915,Col.lisió lateral
684,2011S004824,Caiguda (dues rodes)
685,2011S004137,Col.lisió lateral
686,2011S006760,Col.lisió frontal
687,2011S004136,Atropellament
688,2011S003612,Abast
689,2011S000267,Col.lisió lateral
690,2011S004077,Abast multiple
691,2011S004274,Col.lisió lateral
692,2011S006661,Caiguda interior vehicle
693,2011S001029,Col.lisió fronto-lateral
694,2011S002825,Col.lisió lateral
695,2011S001592,Col.lisió fronto-lateral
696,2011S007883,Col.lisió lateral
697,2011S000081,Abast
698,2011S003417,Col.lisió lateral
699,2011S002861,Abast multiple
700,2011S008335,Atropellament
701,2011S007690,Caiguda (dues rodes)
702,2011S007137,Xoc contra element estàtic
703,2011S003369,Col.lisió fronto-lateral
704,2011S002655,Caiguda (dues rodes)
705,2011S005055,Xoc contra element estàtic
706,2011S004755,Abast
707,2011S000469,Abast
708,2011S006149,Caiguda (dues rodes)
709,2011S007751,Col.lisió fronto-lateral
710,2011S007496,Col.lisió lateral
711,2011S006432,Col.lisió lateral
712,2011S007928,Abast
713,2011S001370,Col.lisió lateral
714,2011S007183,Col.lisió fronto-lateral
715,2011S000090,Col.lisió fronto-lateral
716,2011S002142,Col.lisió fronto-lateral
717,2011S006066,Col.lisió lateral
718,2011S002308,Col.lisió lateral
719,2011S004947,Caiguda (dues rodes)
720,2011S001934,Abast
721,2011S003222,Col.lisió lateral
722,2011S000992,Xoc contra element estàtic
723,2011S007666,Col.lisió lateral
724,2011S006919,Col.lisió lateral
725,2011S004906,Col.lisió lateral
726,2011S000480,Abast
727,2011S001415,Col.lisió lateral
728,2011S002738,Col.lisió fronto-lateral
729,2011S005570,Col.lisió fronto-lateral
730,2011S008470,Abast
731,2011S004276,Col.lisió fronto-lateral
732,2011S000549,Col.lisió fronto-lateral
733,2011S006120,Atropellament
734,2011S007935,Col.lisió fronto-lateral
735,2011S004477,Col.lisió fronto-lateral
736,2011S000891,Col.lisió fronto-lateral
737,2011S003107,Caiguda (dues rodes)
738,2011S004930,Col.lisió lateral
739,2011S000552,Caiguda (dues rodes)
740,2011S001052,Caiguda (dues rodes)
741,2011S000744,Abast
742,2011S008194,Abast multiple
743,2011S007046,Abast
744,2011S002954,Col.lisió lateral
745,2011S005802,Xoc contra element estàtic
746,2011S004784,Caiguda (dues rodes)
747,2011S005291,Atropellament
748,2011S001454,Abast
749,2011S008586,Xoc contra element estàtic
750,2011S005581,Col.lisió fronto-lateral
751,2011S006762,Col.lisió lateral
752,2011S004010,Caiguda (dues rodes)
753,2011S005633,Col.lisió lateral
754,2011S005227,Xoc contra element estàtic
755,2011S005207,Col.lisió fronto-lateral
756,2011S005467,Col.lisió fronto-lateral
757,2011S003168,Col.lisió lateral
758,2011S000899,Altres
759,2011S000899,Abast
760,2011S000746,Abast
761,2011S000249,Atropellament
762,2011S001021,Abast
763,2011S005155,Altres
764,2011S003726,Abast
765,2011S001613,Abast
766,2011S004836,Col.lisió fronto-lateral
767,2011S008755,Atropellament
768,2011S004234,Atropellament
769,2011S001089,Caiguda (dues rodes)
770,2011S008037,Col.lisió fronto-lateral
771,2011S003394,Atropellament
772,2011S001243,Col.lisió lateral
773,2011S003823,Caiguda interior vehicle
