"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
2015S007617,1,"Ciutat Vella",3,"la Barceloneta",701384,"Miquel Tarradell","0000 0000",Dissabte,Ds,Laboral,2015,10,Octubre,10,05,"No és causa del  vianant",Ciclomotor,Dona,Conductor,22,"Ferit lleu","4581072,45","432186,32"
2015S003538,1,"Ciutat Vella",3,"la Barceloneta",701384,"Miquel Tarradell","0000 0000",Dissabte,Ds,Laboral,2015,5,Maig,9,03,"No és causa del  vianant",Motocicleta,Home,Conductor,53,"Ferit lleu","4581072,45","432186,32"
2015S001789,1,"Ciutat Vella",3,"la Barceloneta",248050,"Pau Vila",0010X0010X,Diumenge,Dg,Laboral,2015,3,Març,8,09,"No és causa del  vianant",Taxi,Dona,Vianant,35,"Ferit lleu","4581640,82","431908,35"
2015S008996,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",271100,Pujades,0012I0012I,Divendres,Dv,Laboral,2015,11,Novembre,27,09,"No és causa del  vianant",Motocicleta,Home,Conductor,46,"Ferit lleu","4582287,55","431872,64"
2015S005121,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",700813,"Doctor Aiguader","0031 0031",Divendres,Dv,Laboral,2015,7,Juliol,3,04,"No és causa del  vianant",Motocicleta,Dona,Passatger,28,"Ferit lleu","4581952,12","432379,53"
2015S009841,1,"Ciutat Vella",3,"la Barceloneta",701497,"B-10 (Llobregat)",000970000,Divendres,Dv,Laboral,2015,12,Desembre,25,01,"No és causa del  vianant",Turismo,Dona,Passatger,0,"Ferit lleu","4581754,28","432103,88"
2015S002354,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",85309,Comercial,"0009 0009",Divendres,Dv,Laboral,2015,3,Març,27,06,"No és causa del  vianant",Turismo,Home,Vianant,5,"Ferit lleu","4582049,31","431824,30"
2015S009787,1,"Ciutat Vella",2,"el Barri Gòtic",269301,Portaferrissa,"0013 0013",Dimecres,Dc,Laboral,2015,12,Desembre,23,02,"No és causa del  vianant",Motocicleta,Dona,Conductor,45,"Ferit lleu","4581871,51","430940,37"
2015S007787,1,"Ciutat Vella",3,"la Barceloneta",701265,"Litoral (Besòs)",000940000,Divendres,Dv,Laboral,2015,10,Octubre,16,09,"No és causa del  vianant",Turismo,Dona,Passatger,18,"Ferit lleu","4581890,17","432372,38"
2015S007787,1,"Ciutat Vella",3,"la Barceloneta",701265,"Litoral (Besòs)",000940000,Divendres,Dv,Laboral,2015,10,Octubre,16,09,"No és causa del  vianant",Turismo,Home,Conductor,31,"Ferit lleu","4581890,17","432372,38"
2015S003713,1,"Ciutat Vella",3,"la Barceloneta",701265,"Litoral (Besòs)",000940000,Dijous,Dj,Laboral,2015,5,Maig,14,10,"No és causa del  vianant",Taxi,Dona,Passatger,39,"Ferit lleu","4581890,17","432372,38"
2015S003713,1,"Ciutat Vella",3,"la Barceloneta",701265,"Litoral (Besòs)",000940000,Dijous,Dj,Laboral,2015,5,Maig,14,10,"No és causa del  vianant",Taxi,Home,Conductor,23,"Ferit lleu","4581890,17","432372,38"
2015S004907,1,"Ciutat Vella",3,"la Barceloneta",701265,"Litoral (Besòs)",0022E0000,Dijous,Dj,Laboral,2015,6,Juny,25,06,"No és causa del  vianant",Motocicleta,Dona,Passatger,28,"Ferit lleu","4581946,87","432487,96"
2015S000217,1,"Ciutat Vella",3,"la Barceloneta",701497,"B-10 (Llobregat)",000900000,Dilluns,Dl,Laboral,2015,1,Gener,12,02,"No és causa del  vianant",Taxi,Home,Conductor,32,"Ferit lleu","4582138,32","432683,81"
2015S009079,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",178603,Llevant,"0002 0002",Dilluns,Dl,Laboral,2015,11,Novembre,30,07,"No és causa del  vianant",Turismo,Dona,Conductor,56,"Ferit lleu","4581825,17","431947,48"
2015S000579,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",177101,Laietana,"0020 0020",Divendres,Dv,Laboral,2015,1,Gener,23,11,"No és causa del  vianant",Turismo,Home,Conductor,45,"Ferit lleu","4581914,13","431446,42"
2015S007065,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",195001,Marcús,"0000 0000",Diumenge,Dg,Laboral,2015,9,Setembre,20,02,"No és causa del  vianant",Autobús,Dona,Passatger,73,"Ferit lleu","4582105,42","431525,54"
2015S003999,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22207,"Arenes dels Canvis","0001 0001",Diumenge,Dg,Laboral,2015,5,Maig,24,02,"No és causa del  vianant",Turismo,Home,Conductor,37,"Ferit lleu","4581781,41","431677,55"
2015S005097,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",359109,"Lluís Companys","0008 0008",Dijous,Dj,Laboral,2015,7,Juliol,2,09,"No és causa del  vianant",Motocicleta,Home,Conductor,34,"Ferit lleu","4582555,38","431809,20"
2015S009345,2,Eixample,10,"Sant Antoni",169409,"Corts Catalanes","0400 0400",Dimecres,Dc,Laboral,2015,12,Desembre,9,06,"No és causa del  vianant",Autobús,Dona,Passatger,54,"Ferit lleu","4581087,88","429125,84"
2015S004055,2,Eixample,10,"Sant Antoni",198804,Paral·lel,"0186 0186",Dimarts,Dm,Laboral,2015,5,Maig,26,09,"No és causa del  vianant",Motocicleta,Dona,Conductor,31,"Ferit lleu","4580958,79","429295,25"
2015S005012,2,Eixample,10,"Sant Antoni",323203,Sepúlveda,"0013 0013",Dilluns,Dl,Laboral,2015,6,Juny,29,02,"Desobeir el senyal del semàfor",Turismo,Dona,Vianant,54,"Ferit lleu","4581044,23","429240,69"
2015S008268,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",175106,Jonqueres,"0007 0007",Dimarts,Dm,Laboral,2015,11,Novembre,3,09,"Desobeir el senyal del semàfor",Ciclomotor,Home,Conductor,25,"Ferit lleu","4582379,33","431038,98"
2015S003557,2,Eixample,10,"Sant Antoni",110803,Entença,"0028 0028",Dissabte,Ds,Laboral,2015,5,Maig,9,10,"No és causa del  vianant",Ciclomotor,Home,Conductor,22,"Ferit lleu","4581131,60","429398,82"
2015S004856,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",177101,Laietana,0048A0048A,Dimarts,Dm,Laboral,2015,6,Juny,23,12,"No és causa del  vianant",Motocicleta,Home,Conductor,61,"Ferit lleu","4582222,34","431137,55"
2015S004328,2,Eixample,10,"Sant Antoni",169409,"Corts Catalanes","0434 0434",Divendres,Dv,Laboral,2015,6,Juny,5,11,"Desobeir el senyal del semàfor",Motocicleta,Home,Conductor,33,"Ferit lleu","4581276,62","429318,64"
2015S002408,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",201400,Picasso,"0034 0034",Dilluns,Dl,Laboral,2015,3,Març,30,11,"No és causa del  vianant",Motocicleta,Home,Conductor,23,"Ferit lleu","4582161,73","431915,76"
2015S006450,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",271100,Pujades,"0003 0003",Dijous,Dj,Laboral,2015,8,Agost,27,08,"No és causa del  vianant",Motocicleta,Home,Conductor,39,"Ferit lleu","4582418,96","431750,48"
2015S003171,2,Eixample,10,"Sant Antoni",323203,Sepúlveda,"0096 0096",Diumenge,Dg,Laboral,2015,4,Abril,26,10,"No és causa del  vianant",Ciclomotor,Home,Conductor,31,"Ferit lleu","4581401,54","429636,33"
2015S004947,2,Eixample,10,"Sant Antoni",169409,"Corts Catalanes","0448 0448",Divendres,Dv,Laboral,2015,6,Juny,26,10,"No és causa del  vianant",Motocicleta,Home,Conductor,25,"Ferit lleu","4581345,41","429392,30"
2015S006039,2,Eixample,10,"Sant Antoni",349706,"Comte d'Urgell","0004 0004",Dijous,Dj,Laboral,2015,8,Agost,6,02,"No és causa del  vianant",Motocicleta,Home,Conductor,27,"Ferit lleu","4581388,46","430089,36"
2015S005706,2,Eixample,10,"Sant Antoni",361406,Viladomat,"0011 0011",Divendres,Dv,Laboral,2015,7,Juliol,24,11,"No és causa del  vianant",Motocicleta,Home,Conductor,40,"Ferit lleu","4581004,02","430054,00"
2015S000633,2,Eixample,10,"Sant Antoni",323203,Sepúlveda,"0059 0059",Dilluns,Dl,Laboral,2015,1,Gener,26,05,"No és causa del  vianant",Motocicleta,Home,Conductor,52,"Ferit lleu","4581270,77","429471,73"
2015S006783,2,Eixample,10,"Sant Antoni",323203,Sepúlveda,"0075 0075",Dimecres,Dc,Laboral,2015,9,Setembre,9,11,"No és causa del  vianant",Taxi,Home,Conductor,45,"Ferit lleu","4581366,90","429570,32"
2015S003702,2,Eixample,10,"Sant Antoni",323203,Sepúlveda,"0097 0097",Dijous,Dj,Laboral,2015,5,Maig,14,06,"No és causa del  vianant",Motocicleta,Home,Conductor,49,"Ferit lleu","4581473,52","429678,81"
2015S005941,2,Eixample,10,"Sant Antoni",323203,Sepúlveda,"0113 0115",Diumenge,Dg,Laboral,2015,8,Agost,2,11,"No és causa del  vianant",Taxi,Dona,Passatger,11,"Ferit lleu","4581563,92","429771,00"
2015S009032,2,Eixample,10,"Sant Antoni",246000,Parlament,"0057 0057",Dissabte,Ds,Laboral,2015,11,Novembre,28,05,"No és causa del  vianant",Bicicleta,Home,Conductor,34,"Ferit lleu","4581229,66","430186,96"
2015S008643,2,Eixample,9,"la Nova Esquerra de l'Eixample",361406,Viladomat,"0259 0259",Dilluns,Dl,Laboral,2015,11,Novembre,16,03,"No és causa del  vianant",Motocicleta,Home,Conductor,36,"Ferit lleu","4582235,99","428848,01"
2015S007536,2,Eixample,9,"la Nova Esquerra de l'Eixample",180208,Londres,"0025 0025",Dimecres,Dc,Laboral,2015,10,Octubre,7,03,"No és causa del  vianant",Motocicleta,Home,Conductor,53,"Ferit lleu","4582533,12","428617,34"
2015S004232,2,Eixample,9,"la Nova Esquerra de l'Eixample",180208,Londres,"0025 0025",Dimarts,Dm,Laboral,2015,6,Juny,2,06,"No és causa del  vianant",Motocicleta,Home,Conductor,48,"Ferit lleu","4582533,12","428617,34"
2015S006659,2,Eixample,10,"Sant Antoni",198804,Paral·lel,"0152 0152",Divendres,Dv,Laboral,2015,9,Setembre,4,08,"No és causa del  vianant",Taxi,Home,Passatger,41,"Ferit lleu","4580954,23","429668,84"
2015S000098,2,Eixample,10,"Sant Antoni",349706,"Comte d'Urgell","0037 0039",Dimarts,Dm,Laboral,2015,1,Gener,6,06,"No és causa del  vianant",Motocicleta,Home,Passatger,45,"Ferit lleu","4581580,28","429858,02"
2015S002594,2,Eixample,10,"Sant Antoni",169409,"Corts Catalanes","0546 0546",Dimecres,Dc,Laboral,2015,4,Abril,8,10,"No és causa del  vianant",Taxi,Home,Vianant,79,"Ferit lleu","4581823,85","429877,35"
