"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2013S001070    ",6,Gràcia,30,"la Salut",344000,Dalt,"0082 0082",Dilluns,Dl,Laboral,2013,2,Febrer,11,Tarda,20,"No és causa del  vianant",Ciclomotor,Dona,Conductor,15,"Ferit lleu","4584869,08","429610,03"
"2013S001072    ",7,Horta-Guinardó,39,"Sant Genís dels Agudells",226604,Natzaret,"0105 0107",Dimarts,Dm,Laboral,2013,2,Febrer,12,Nit,00,"No és causa del  vianant",Furgoneta,Home,Vianant,24,"Ferit lleu","4586799,95","427974,92"
"2013S001581    ",2,Eixample,7,"la Dreta de l'Eixample",100800,Diputació,"0303 0303",Divendres,Dv,Laboral,2013,3,Març,1,Nit,04,"No és causa del  vianant",Taxi,Home,Conductor,36,"Ferit lleu","4582888,51","430698,74"
"2013S000553    ",3,Sants-Montjuïc,11,"el Poble Sec",116402,Estadi,"0030 0038",Dimecres,Dc,Laboral,2013,1,Gener,23,Tarda,20,"No és causa del  vianant",Motocicleta,Home,Passatger,32,"Ferit lleu","4579967,75","429069,57"
"2013S000555    ",3,Sants-Montjuïc,18,Sants,30602,Badal,"0112 0114",Dimecres,Dc,Laboral,2013,1,Gener,23,Tarda,20,"No és causa del  vianant",Motocicleta,Home,Conductor,43,"Ferit lleu","4580521,15","427540,32"
"2013S000572    ",4,"Les Corts",19,"les Corts",199909,"Marquès de Sentmenat",0099X0099X,Dijous,Dj,Laboral,2013,1,Gener,24,Matí,12,"No és causa del  vianant",Motocicleta,Dona,Passatger,24,"Ferit lleu","4582111,92","428362,41"
"2013S000579    ",2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","0149 0149",Dijous,Dj,Laboral,2013,1,Gener,24,Tarda,14,"No és causa del  vianant",Motocicleta,Home,Conductor,45,"Ferit lleu","4583071,33","430275,96"
"2013S003580    ",3,Sants-Montjuïc,13,"la Marina de Port",206607,Mecànica,"0012 0012",Dissabte,Ds,Laboral,2013,5,Maig,18,Nit,03,"No és causa del  vianant",Turismo,Home,Conductor,37,"Ferit lleu","4579193,18","427992,87"
"2013S003582    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,C-31,020700000,Dissabte,Ds,Laboral,2013,5,Maig,18,Nit,04,"No és causa del  vianant",Taxi,Home,Passatger,40,"Ferit lleu","4584901,86","433010,80"
"2013S003594    ",2,Eixample,5,"el Fort Pienc",76807,Sardenya,"0159 0159",Dissabte,Ds,Laboral,2013,5,Maig,18,Tarda,15,"Creuar per fora pas de vianants",Turismo,Home,Vianant,57,"Ferit lleu","4583359,47","431677,08"
"2013S004582    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",28000,Augusta,"0257 0257",Dissabte,Ds,Laboral,2013,6,Juny,22,Nit,23,"Desobeir el senyal del semàfor",Ciclomotor,Dona,Vianant,50,"Ferit lleu","4583469,01","427573,55"
