"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","Dia_setmana","Descripcio_tipus_dia","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X","Coordenada_UTM_Y","Latitud","Longitud"
"2020S002770    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",100800,"Diputació","0133 0133","Divendres","Dv","Laboral",2020,6,"Juny",26,8,"Matí","No és causa del  vianant","Turisme","NUEVO RIFTER ACCESS BL","PEUGEOT","Blanc","B",17,"429603.93","4581815.73","41.38294077","2.15694981"
"2020S002770    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",100800,"Diputació","0133 0133","Divendres","Dv","Laboral",2020,6,"Juny",26,8,"Matí","No és causa del  vianant","Veh. mobilitat personal amb motor","Desconegut","Desconegut","Desconegut","Desconegut","Desconegut","429603.93","4581815.73","41.38294077","2.15694981"
"2020S002771    ",10,"Sant Martí",70,"el Besòs i el Maresme",242906,"Pallars","0444 0444","Divendres","Dv","Laboral",2020,6,"Juny",26,10,"Matí","No és causa del  vianant","Furgoneta","TRANSIT","FORD","Blanc","B",6,"434280.39","4585011.54","41.412120547","2.21252721"
"2020S002771    ",10,"Sant Martí",70,"el Besòs i el Maresme",242906,"Pallars","0444 0444","Divendres","Dv","Laboral",2020,6,"Juny",26,10,"Matí","No és causa del  vianant","Veh. mobilitat personal amb motor","Desconegut","JOYOR","Desconegut","Desconegut","Desconegut","434280.39","4585011.54","41.412120547","2.21252721"
"2020S002772    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",169409,"Corts Catalanes","0489 0489","Divendres","Dv","Laboral",2020,6,"Juny",26,10,"Matí","No és causa del  vianant","Motocicleta","Desconegut","Desconegut","Desconegut","Desconegut","Desconegut","429507.09","4581534.56","41.380399879","2.15582447"
"2020S002772    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",169409,"Corts Catalanes","0489 0489","Divendres","Dv","Laboral",2020,6,"Juny",26,10,"Matí","No és causa del  vianant","Motocicleta","SH300A","HONDA","Negre","A",24,"429507.09","4581534.56","41.380399879","2.15582447"
"2020S002773    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",170907,"Jota","0118 0118","Divendres","Dv","Laboral",2020,6,"Juny",26,11,"Matí","No és causa del  vianant","Turisme","CIVIC 5DR","HONDA","Gris","B",33,"431338.83",4586974,"41.429549704","2.17711134"
"2020S002773    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",170907,"Jota","0118 0118","Divendres","Dv","Laboral",2020,6,"Juny",26,11,"Matí","No és causa del  vianant","Veh. mobilitat personal amb motor","Desconegut","DACIA","Negre","Desconegut","Desconegut","431338.83",4586974,"41.429549704","2.17711134"
"2020S002774    ",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",701491,"Transversal 11","0023 0023","Divendres","Dv","Laboral",2020,6,"Juny",26,12,"Matí","No és causa del  vianant","Tractor camió","TGX","MAN","Blanc","E C",29,"426118.02","4575809.8","41.328534902","2.11599521"
"2020S002774    ",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",701491,"Transversal 11","0023 0023","Divendres","Dv","Laboral",2020,6,"Juny",26,12,"Matí","No és causa del  vianant","Altres vehicles amb motor","H16D","LINDE","Vermell","B",41,"426118.02","4575809.8","41.328534902","2.11599521"
"2020S002775    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",268003,"Provença","0101 0101","Divendres","Dv","Laboral",2020,6,"Juny",26,13,"Matí","No és causa del  vianant","Turisme","TOYOTA PRIUS","TOYOTA","Negre/Groc","B",34,"429042.12","4582201.63","41.386367057","2.15018614"
"2020S002775    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",268003,"Provença","0101 0101","Divendres","Dv","Laboral",2020,6,"Juny",26,13,"Matí","No és causa del  vianant","Bicicleta"," ","BICING","Vermell","Desconegut","Desconegut","429042.12","4582201.63","41.386367057","2.15018614"
"2020S002776    ",1,"Ciutat Vella",2,"el Barri Gòtic",269108,"Portal de la Pau","9998 9998","Divendres","Dv","Laboral",2020,6,"Juny",26,14,"Tarda","No és causa del  vianant","Turisme","CORSA","OPEL","Gris","B",18,"431338.6","4581022.29","41.375944469","2.17778406"
"2020S002776    ",1,"Ciutat Vella",2,"el Barri Gòtic",269108,"Portal de la Pau","9998 9998","Divendres","Dv","Laboral",2020,6,"Juny",26,14,"Tarda","No és causa del  vianant","Motocicleta","PEOPLE 125","KYMCO","Negre","B",26,"431338.6","4581022.29","41.375944469","2.17778406"
"2020S002777    ",3,"Sants-Montjuïc",16,"la Bordeta",169409,"Corts Catalanes","0181X0181X","Divendres","Dv","Laboral",2020,6,"Juny",26,14,"Tarda","No és causa del  vianant","Furgoneta","FIAT DOBLO","FIAT","Desconegut","B",12,"428120.05","4580176.09","41.368041834","2.13939928"
"2020S002777    ",3,"Sants-Montjuïc",16,"la Bordeta",169409,"Corts Catalanes","0181X0181X","Divendres","Dv","Laboral",2020,6,"Juny",26,14,"Tarda","No és causa del  vianant","Turisme","PRIUS ECO","TOYOTA","Negre/Groc","B",36,"428120.05","4580176.09","41.368041834","2.13939928"
"2020S002778    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",271100,"Pujades","0001B0001B","Divendres","Dv","Laboral",2020,6,"Juny",26,19,"Tarda","No és causa del  vianant","Ciclomotor","YN 50","YAMAHA","Negre","AM",25,"431719.78","4582376.44","41.38817339","2.18218930"
"2020S002778    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",271100,"Pujades","0001B0001B","Divendres","Dv","Laboral",2020,6,"Juny",26,19,"Tarda","No és causa del  vianant","Motocicleta","ROADWIN","DAELIM","Negre","Desconegut","Desconegut","431719.78","4582376.44","41.38817339","2.18218930"
"2020S002778    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",271100,"Pujades","0001B0001B","Divendres","Dv","Laboral",2020,6,"Juny",26,19,"Tarda","No és causa del  vianant","Ciclomotor","YQ50","YAMAHA","Verd","AM",17,"431719.78","4582376.44","41.38817339","2.18218930"
"2020S002779    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",244209,"Joan XXIII","0018 0018","Divendres","Dv","Laboral",2020,6,"Juny",26,18,"Tarda","No és causa del  vianant","Turisme","N-C4 VTI120 SEDU","CITROEN","Blanc","B",60,"426740.28","4582066.66","41.384944992","2.12267443"
"2020S002779    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",244209,"Joan XXIII","0018 0018","Divendres","Dv","Laboral",2020,6,"Juny",26,18,"Tarda","No és causa del  vianant","Turisme","CLIO","RENAULT","Negre","B",5,"426740.28","4582066.66","41.384944992","2.12267443"
"2020S002780    ",7,"Horta-Guinardó",38,"la Teixonera",700823,"Coll i Alentorn","0015U0015U","Divendres","Dv","Laboral",2020,6,"Juny",26,20,"Tarda","No és causa del  vianant","Motocicleta","SCV100","HONDA","Altres","B",7,"428471.32","4586446.04","41.424544214","2.14285795"
