"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ tipus accident","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S000579,2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","0149 0149",Dijous,Dj,Laboral,2013,1,Gener,24,14,Tarda,Atropellament,"4583071,33","430275,96"
2013S005892,2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","0162 0164",Dimecres,Dc,Laboral,2013,8,Agost,14,14,Tarda,"Col.lisi¢ lateral","4583137,75","430241,68"
2013S009247,2,Eixample,7,"la Dreta de l'Eixample",74506,Catalunya,"0060 0060",Divendres,Dv,Laboral,2013,12,Desembre,20,13,Mat°,"Col.lisi¢ fronto-lateral","4582745,98","430155,81"
2013S004573,2,Eixample,7,"la Dreta de l'Eixample",305100,"Sant Joan","0081 0083",Dissabte,Ds,Laboral,2013,6,Juny,22,15,Tarda,"Col.lisi¢ lateral","4583463,54","430805,99"
2013S002296,2,Eixample,7,"la Dreta de l'Eixample",89004,"Consell de Cent","0442 0442",Dijous,Dj,Laboral,2013,3,Mará,28,20,Tarda,"Caiguda (dues rodes)","4583491,03","431154,98"
2013S001205,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0685 0685",Dissabte,Ds,Laboral,2013,2,Febrer,16,8,Mat°,Abast,"4583318,02","431326,98"
2013S001966,2,Eixample,7,"la Dreta de l'Eixample",225500,NÖpols,"0149 0151",Divendres,Dv,Laboral,2013,3,Mará,15,10,Mat°,"Col.lisi¢ lateral","4583347,02","431314,72"
2013S003354,2,Eixample,7,"la Dreta de l'Eixample",335100,Tetuan,"0016 0016",Dijous,Dj,Laboral,2013,5,Maig,9,9,Mat°,"Col.lisi¢ lateral","4583116,59","431099,21"
2013S001819,2,Eixample,7,"la Dreta de l'Eixample",335100,Tetuan,"0019 0020",Diumenge,Dg,Laboral,2013,3,Mará,10,14,Tarda,Abast,"4583161,52","431093,74"
2013S000672,2,Eixample,7,"la Dreta de l'Eixample",18505,Arag¢,"0308 0308",Dilluns,Dl,Laboral,2013,1,Gener,28,12,Mat°,"Caiguda (dues rodes)","4583090,89","430561,98"
2013S004400,2,Eixample,7,"la Dreta de l'Eixample",18505,Arag¢,"0312 0312",Diumenge,Dg,Laboral,2013,6,Juny,16,20,Tarda,"Col.lisi¢ fronto-lateral","4583115,86","430589,44"
2013S002225,2,Eixample,7,"la Dreta de l'Eixample",31300,Bailän,"0081 0083",Dilluns,Dl,Laboral,2013,3,Mará,25,14,Tarda,"Abast multiple","4583275,36","430824,99"
2013S003208,2,Eixample,7,"la Dreta de l'Eixample",18505,Arag¢,"0388 0388",Divendres,Dv,Laboral,2013,5,Maig,3,15,Tarda,"Col.lisi¢ lateral","4583489,22","430968,62"
2013S000105,2,Eixample,7,"la Dreta de l'Eixample",89004,"Consell de Cent","0431 0431",Diumenge,Dg,Laboral,2013,1,Gener,6,19,Tarda,"Xoc contra element estÖtic","4583369,6","430999,74"
2013S005636,2,Eixample,7,"la Dreta de l'Eixample",89004,"Consell de Cent","0413 0415",Dijous,Dj,Laboral,2013,8,Agost,1,16,Tarda,"Caiguda (dues rodes)","4583220,14","430846,64"
2013S007014,2,Eixample,7,"la Dreta de l'Eixample",145003,Girona,"0072 0072",Dijous,Dj,Laboral,2013,10,Octubre,3,23,Nit,"Col.lisi¢ fronto-lateral","4583168,17","430772,87"
2013S008516,2,Eixample,7,"la Dreta de l'Eixample",89004,"Consell de Cent","0312 0312",Dimecres,Dc,Laboral,2013,11,Novembre,27,15,Tarda,"Xoc contra element estÖtic","4582763,54","430410,88"
2013S005479,2,Eixample,7,"la Dreta de l'Eixample",89004,"Consell de Cent","0326 0326",Dissabte,Ds,Laboral,2013,7,Juliol,27,2,Nit,Atropellament,4582836,"430485,1"
2013S004233,2,Eixample,7,"la Dreta de l'Eixample",74404,Catalunya,"0014 0014",Dilluns,Dl,Laboral,2013,6,Juny,10,18,Tarda,Atropellament,"4582324,92","430786,22"
2013S007637,2,Eixample,7,"la Dreta de l'Eixample",100800,Diputaci¢,"0272 0272",Dissabte,Ds,Laboral,2013,10,Octubre,26,19,Tarda,"Col.lisi¢ fronto-lateral",4582776,"430614,96"
2013S009096,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0645 0645",Dilluns,Dl,Laboral,2013,12,Desembre,16,17,Tarda,Atropellament,"4582846,29","430847,56"
2013S001553,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0655 0655",Dijous,Dj,Laboral,2013,2,Febrer,28,9,Mat°,"Caiguda (dues rodes)","4582939,91","430943,38"
2013S002755,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0655 0655",Dimecres,Dc,Laboral,2013,4,Abril,17,17,Tarda,"Col.lisi¢ lateral","4582939,91","430943,38"
2013S001850,2,Eixample,7,"la Dreta de l'Eixample",74404,Catalunya,"9999 9999",Dilluns,Dl,Laboral,2013,3,Mará,11,17,Tarda,"Col.lisi¢ lateral","4582205,57","430757,56"
2013S002664,2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","0107 0107",Dissabte,Ds,Laboral,2013,4,Abril,13,8,Mat°,"Col.lisi¢ fronto-lateral","4582778,28","430561,88"
2013S001702,2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","0116 0116",Dimecres,Dc,Laboral,2013,3,Mará,6,18,Tarda,"Col.lisi¢ lateral","4582829,9","430542,14"
2013S003864,2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","0122 0124",Dimecres,Dc,Laboral,2013,5,Maig,29,12,Mat°,"Caiguda (dues rodes)","4582897,28","430476,36"
