"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2021-01-09,NA,"X4","PM",1002.9
2021-01-09,"00:00:00","X4","PX",1005.8
2021-01-09,"13:29:00","X4","PN",1000.3
2021-01-09,NA,"X4","PPT",20
2021-01-09,NA,"X4","RS24h",1.2
2021-01-09,NA,"X4","VVM10",4.2
2021-01-09,NA,"X4","DVM10",51
2021-01-09,"17:28:00","X4","VVX10",14.9
2021-01-09,"17:28:00","X4","DVVX10",53
2021-01-09,NA,"X8","TM",6.1
2021-01-09,"19:49:00","X8","TX",7.5
2021-01-09,"02:51:00","X8","TN",3.7
2021-01-09,NA,"X8","HRM",79
2021-01-09,"09:47:00","X8","HRX",99
2021-01-09,"00:33:00","X8","HRN",43
2021-01-09,NA,"X8","PM",996.9
2021-01-09,"00:31:00","X8","PX",1000
2021-01-09,"13:52:00","X8","PN",994.4
2021-01-09,NA,"X8","PPT",25.5
2021-01-09,NA,"X8","RS24h",1.4
2021-01-09,NA,"X8","VVM10",5.1
2021-01-09,NA,"X8","DVM10",48
2021-01-09,"18:10:00","X8","VVX10",18.9
2021-01-09,"18:10:00","X8","DVVX10",43
2021-01-10,NA,"D5","TM",3.9
2021-01-10,"08:43:00","D5","TX",5
2021-01-10,"23:47:00","D5","TN",2.1
2021-01-10,NA,"D5","HRM",84
2021-01-10,"14:06:00","D5","HRX",96
2021-01-10,"08:09:00","D5","HRN",71
2021-01-10,NA,"D5","PM",961.7
2021-01-10,"23:50:00","D5","PX",966.8
2021-01-10,"00:39:00","D5","PN",955.9
2021-01-10,NA,"D5","PPT",5.2
2021-01-10,NA,"D5","RS24h",1.4
2021-01-10,NA,"D5","VVM10",7.8
2021-01-10,NA,"D5","DVM10",23
2021-01-10,"00:34:00","D5","VVX10",23.3
2021-01-10,"00:34:00","D5","DVVX10",26
2021-01-10,NA,"X2","TM",7.5
2021-01-10,"15:54:00","X2","TX",8.8
2021-01-10,"23:02:00","X2","TN",5.8
2021-01-10,NA,"X2","HRM",71
2021-01-10,"13:30:00","X2","HRX",89
2021-01-10,"08:32:00","X2","HRN",57
2021-01-10,NA,"X4","TM",7.5
2021-01-10,"15:43:00","X4","TX",8.5
2021-01-10,"23:47:00","X4","TN",6.1
2021-01-10,NA,"X4","HRM",68
2021-01-10,"12:13:00","X4","HRX",80
2021-01-10,"09:12:00","X4","HRN",57
2021-01-10,NA,"X4","PM",1007.1
2021-01-10,"23:21:00","X4","PX",1012.6
2021-01-10,"00:30:00","X4","PN",1001.8
2021-01-10,NA,"X4","PPT",5.2
2021-01-10,NA,"X4","RS24h",1.3
2021-01-10,NA,"X4","VVM10",2.1
2021-01-10,NA,"X4","DVM10",24
2021-01-10,"02:41:00","X4","VVX10",12.1
2021-01-10,"02:41:00","X4","DVVX10",42
2021-01-10,NA,"X8","TM",6.5
2021-01-10,"08:00:00","X8","TX",8.1
2021-01-10,"23:57:00","X8","TN",4.6
2021-01-10,NA,"X8","HRM",78
2021-01-10,"14:39:00","X8","HRX",97
2021-01-10,"07:54:00","X8","HRN",58
2021-01-10,NA,"X8","PM",1001.4
2021-01-10,"23:30:00","X8","PX",1006.8
2021-01-10,"00:30:00","X8","PN",995.9
2021-01-10,NA,"X8","PPT",4.7
2021-01-10,NA,"X8","RS24h",1.2
2021-01-10,NA,"X8","VVM10",2.9
2021-01-10,NA,"X8","DVM10",354
2021-01-10,"00:15:00","X8","VVX10",14.1
2021-01-10,"00:15:00","X8","DVVX10",43
2021-01-11,NA,"D5","TM",1.7
2021-01-11,"12:48:00","D5","TX",6.2
2021-01-11,"22:20:00","D5","TN",-0.6
2021-01-11,NA,"D5","HRM",81
2021-01-11,"03:30:00","D5","HRX",93
2021-01-11,"13:03:00","D5","HRN",64
2021-01-11,NA,"D5","PM",969.6
2021-01-11,"23:37:00","D5","PX",973.1
2021-01-11,"00:00:00","D5","PN",966.5
2021-01-11,NA,"D5","PPT",0
2021-01-11,NA,"D5","RS24h",9.2
2021-01-11,NA,"D5","VVM10",8.4
2021-01-11,NA,"D5","DVM10",322
2021-01-11,"19:18:00","D5","VVX10",15
2021-01-11,"19:18:00","D5","DVVX10",318
2021-01-11,NA,"X2","TM",5.6
2021-01-11,"12:53:00","X2","TX",8.8
2021-01-11,"23:15:00","X2","TN",1.9
2021-01-11,NA,"X2","HRM",66
2021-01-11,"23:01:00","X2","HRX",80
2021-01-11,"14:00:00","X2","HRN",54
2021-01-11,NA,"X4","TM",6
2021-01-11,"11:50:00","X4","TX",9.8
2021-01-11,"23:07:00","X4","TN",3.6
2021-01-11,NA,"X4","HRM",62
2021-01-11,"03:44:00","X4","HRX",73
2021-01-11,"11:51:00","X4","HRN",50
2021-01-11,NA,"X4","PM",1015.5
2021-01-11,"23:51:00","X4","PX",1018.8
2021-01-11,"00:34:00","X4","PN",1012.3
2021-01-11,NA,"X4","PPT",0
2021-01-11,NA,"X4","RS24h",9.2
2021-01-11,NA,"X4","VVM10",1.7
2021-01-11,NA,"X4","DVM10",312
2021-01-11,"13:55:00","X4","VVX10",8.7
2021-01-11,"13:55:00","X4","DVVX10",307
2021-01-11,NA,"X8","TM",4.6
2021-01-11,"13:22:00","X8","TX",8.1
2021-01-11,"21:05:00","X8","TN",2.4
2021-01-11,NA,"X8","HRM",69
2021-01-11,"00:03:00","X8","HRX",83
2021-01-11,"13:10:00","X8","HRN",56
2021-01-11,NA,"X8","PM",1009.8
2021-01-11,"23:38:00","X8","PX",1012.9
2021-01-11,"00:51:00","X8","PN",1006.6
2021-01-11,NA,"X8","PPT",0
2021-01-11,NA,"X8","RS24h",9.1
2021-01-11,NA,"X8","VVM10",3.2
2021-01-11,NA,"X8","DVM10",304
2021-01-11,"19:07:00","X8","VVX10",11.1
2021-01-11,"19:07:00","X8","DVVX10",300
2021-01-12,NA,"D5","TM",1.8
2021-01-12,"14:03:00","D5","TX",5.3
2021-01-12,"07:08:00","D5","TN",-0.4
2021-01-12,NA,"D5","HRM",66
2021-01-12,"00:03:00","D5","HRX",78
2021-01-12,"14:30:00","D5","HRN",53
2021-01-12,NA,"D5","PM",974.2
2021-01-12,"22:58:00","D5","PX",976.2
2021-01-12,"04:45:00","D5","PN",972.2
2021-01-12,NA,"D5","PPT",0
2021-01-12,NA,"D5","RS24h",9.6
2021-01-12,NA,"D5","VVM10",11.2
